word	translation	response1	response2	response3	response4	response5	1st_attempt	1st_success	1st_failure	attempt	success	failure
Sajt	Fromage	**TEST** Fromage	**LEARN**	**LEARN**	**FINISHED**	**FINISHED**	1	1	0	0	0	0
Fagyi	Glace	**TEST** Gaaa	**TEST** Glace	**TEST** Glace	**TEST** Gq	**FINISHED**	2	1	1	2	1	1
Csirke	Poulet	**TEST** Poulet	**DROPPED**	**DROPPED**	**DROPPED**	**DROPPED**	1	1	0	0	0	0
Bors	Poivre	**TEST** Poivre	**TEST** Pq	**TEST** Pq	**FINISHED**	**FINISHED**	1	1	0	2	0	2
Jgv
3
F
Hjkl
