word	translation	response1	response2	response3	response4	1st_attempt	1st_success	1st_failure	attempt	success	failure
Fagyi	Glace	**TEST** Glace	**TEST** Glace	**TEST** Glace	**FINISHED**	1	1	0	2	2	0
Csirke	Poulet	**TEST** Poul	**TEST** Poulet	**DROPPED**	**DROPPED**	2	1	1	0	0	0
Bors	Poivre	**TEST** Poivre	**TEST** Poivre	**TEST** Poivre	**FINISHED**	1	1	0	2	2	0
Sajt	Fromage	**TEST** Fromage	**LEARN**	**LEARN**	**FINISHED**	1	1	0	0	0	0
Jgc
88
G
A
